City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
202,Araouane,ML,2022-07-22 16:37:40,clear sky,18.9048,-3.5265,101.62,25,5,6.96
203,Walvis Bay,NA,2022-07-22 16:37:40,clear sky,-22.9575,14.5053,63.09,52,0,16.82
204,Hobyo,SO,2022-07-22 16:37:41,broken clouds,5.3505,48.5268,76.73,82,71,22.46
205,Kavieng,PG,2022-07-22 16:37:41,light rain,-2.5744,150.7967,81.7,78,39,10.31
206,Puerto Del Rosario,ES,2022-07-22 16:37:41,scattered clouds,28.5004,-13.8627,78.76,71,29,16.6
207,Kibala,TD,2022-07-22 16:37:43,light rain,9.1104,18.3463,74.91,88,100,4.56
208,College,US,2022-07-22 16:36:43,overcast clouds,64.8569,-147.8028,52.59,89,100,1.01
209,Cyangugu,RW,2022-07-22 16:37:43,overcast clouds,-2.4846,28.9075,64.4,63,85,2.89
210,Saint Anthony,US,2022-07-22 16:37:43,clear sky,45.0205,-93.218,87.93,46,2,1.01
211,Marzuq,YE,2022-07-22 16:37:44,few clouds,14.4,46.4667,80.56,54,14,10.6
212,Mount Darwin,ZW,2022-07-22 16:37:44,broken clouds,-16.7725,31.5838,62.49,51,73,4.59
213,Slavyanka,RU,2022-07-22 16:37:45,overcast clouds,42.8633,131.3847,64.18,96,93,4.0
214,Maldonado,UY,2022-07-22 16:37:45,scattered clouds,-34.6667,-54.9167,59.23,67,27,2.24
215,Kannangad,IN,2022-07-22 16:35:00,light rain,12.3081,75.1063,78.12,87,100,7.56
216,Beyneu,KZ,2022-07-22 16:37:45,broken clouds,45.3167,55.2,89.44,30,64,18.43
217,Samarai,PG,2022-07-22 16:37:46,scattered clouds,-10.6167,150.6667,79.59,81,33,5.61
218,Cidreira,BR,2022-07-22 16:37:46,light rain,-30.1811,-50.2056,68.76,82,92,4.34
219,Saint-Philippe,RE,2022-07-22 16:37:46,light rain,-21.3585,55.7679,67.21,81,35,14.23
220,Sinnamary,GF,2022-07-22 16:37:46,few clouds,5.3833,-52.95,83.16,71,14,6.85
221,Emba,KZ,2022-07-22 16:37:47,broken clouds,48.8264,58.1442,79.36,39,84,9.35
222,Nantucket,US,2022-07-22 16:34:22,few clouds,41.2835,-70.0995,84.0,79,14,5.88
223,Fortuna,US,2022-07-22 16:37:47,broken clouds,40.5982,-124.1573,59.94,88,69,1.99
224,Bud,US,2022-07-22 16:37:48,few clouds,39.447,-86.1758,89.02,54,14,7.18
225,Turayf,SA,2022-07-22 16:37:48,clear sky,31.6725,38.6637,91.96,16,0,13.85
