City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
213,Slavyanka,RU,64.18,overcast clouds,42.8633,131.3847,"Gostevoy Dom, ""Nattalika"""
215,Kannangad,IN,78.12,light rain,12.3081,75.1063,Hotel Landmark
216,Beyneu,KZ,89.44,broken clouds,45.3167,55.2,NUR
217,Samarai,PG,79.59,scattered clouds,-10.6167,150.6667,Nuli Sapi
218,Cidreira,BR,68.76,light rain,-30.1811,-50.2056,Hotel Castelo
219,Saint-Philippe,RE,67.21,light rain,-21.3585,55.7679,Le four à pain
220,Sinnamary,GF,83.16,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
221,Emba,KZ,79.36,broken clouds,48.8264,58.1442,
222,Nantucket,US,84.0,few clouds,41.2835,-70.0995,Jared Coffin House
224,Bud,US,89.02,few clouds,39.447,-86.1758,Ted McQuinn Trust
225,Turayf,SA,91.96,clear sky,31.6725,38.6637,Turaif
226,Porto Belo,BR,73.09,scattered clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
228,Isla Mujeres,MX,87.17,few clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
229,Marawi,PH,69.48,light rain,7.9986,124.2928,Derogongan Residence
233,Alyangula,AU,63.18,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
236,Lagoa,PT,72.73,overcast clouds,39.05,-27.9833,Casa Das Faias
237,Cookeville,US,88.57,clear sky,36.1628,-85.5016,La Quinta Inn & Suites by Wyndham Cookeville
238,Talnakh,RU,65.21,broken clouds,69.4865,88.3972,Talnakh Hotel
239,Ciudad Bolivar,VE,90.34,broken clouds,8.1222,-63.5497,Hotel Edi
240,Dingle,PH,77.0,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
241,Goderich,CA,74.91,clear sky,43.7501,-81.7165,Harmony Inn
